tapt/run_id,tapt/run_name,tapt/duration_s,tapt/avg_epoch_time_s,tapt/train/avg_epoch_loss,tapt/train/gpu_mem_peak_mb,tapt/stage,dataset,arch,pretrain/run_id,pretrain/run_name,pretrain/duration_s,pretrain/avg_epoch_time_s,pretrain/train/avg_epoch_loss,pretrain/train/gpu_mem_peak_mb,pretrain/stage,finetune/run_id,finetune/run_name,finetune/duration_s,finetune/avg_epoch_time_s,finetune/test/f1_macro,finetune/train/gpu_mem_peak_mb,finetune/stage,finetune/train/gpu_mem_peak_gb,tapt/train/gpu_mem_peak_gb,pretrain/train/gpu_mem_peak_gb,finetune/duration_min,tapt/duration_min,pretrain/duration_min,pretrain/avg_epoch_time_min,tapt/avg_epoch_time_min,finetune/avg_epoch_time_min,finetune_tapt/duration_min,finetune_tapt/train/gpu_mem_peak_gb,finetune_tapt/train/gpu_mem_peak_gb_pct_vs_mha,finetune_tapt/duration_min_pct_vs_mha,finetune/test/f1_macro_pp_vs_mha,finetune/test/f1_macro_pp_vs_baseline,pretrain/train/gpu_mem_peak_gb_pct_vs_mha,pretrain/avg_epoch_time_min_pct_vs_mha
1crsv1ae,E2_pretraining_imdb_bertsmall_favor_nb0.5,1944.468277867,129.63121852446668,2.83412385958904,22489.65771484375,tapt,imdb,favor_nb0.5,yjcapkj3,E2_pretraining_wikipedia_bertsmall_favor_nb0.5,9173.221722392,917.3221722392,2.666425063559006,22493.97607421875,pretrain,hhoyoxfp,E2_finetuning_imdb_bertsmall_favor_nb0.5,728.522017623,91.065252202875,91.63965756037366,11106.0009765625,finetune,10.845704078674316,21.9625563621521,21.966773509979248,12.14203362705,32.40780463111667,152.88702870653333,15.288702870653333,2.1605203087411113,1.51775420338125,44.54983825816667,21.9625563621521,52.11805046505358,87.92806916979615,-1.2202599002721826,2.1396575603736636,52.13182437238476,93.99644484050545
jucxpr34,E2_pretraining_imdb_bertsmall_favor_nb1,3032.20445102,202.14696340133332,2.7616488173717686,29793.16943359375,tapt,imdb,favor_nb1,noug0x9s,E2_pretraining_wikipedia_bertsmall_favor_nb1,13037.930544947,1303.7930544946998,2.5787582328125622,29795.48779296875,pretrain,u44pgkly,E2_finetuning_imdb_bertsmall_favor_nb1,1232.003859489,154.000482436125,91.73982521470154,18846.4111328125,finetune,18.404698371887207,29.094892024993896,29.097156047821045,20.53339765815,50.53674085033333,217.29884241578333,21.72988424157833,3.3691160566888887,2.56667470726875,71.07013850848332,29.094892024993896,101.51835607626958,199.8007271795397,-1.1200922459443063,2.23982521470154,101.51359195250183,175.72779230039262
o031jp0p,E2_pretraining_imdb_bertsmall_lsh_h2_c128,2053.627130862,136.9084753908,2.502445405710158,21848.15185546875,tapt,imdb,lsh_h2_c128,hu06m597,E2_pretraining_wikipedia_bertsmall_lsh_h2_c128,10888.843224079,1088.8843224079,2.277830253350321,21848.34521484375,pretrain,tq5q132s,E2_finetuning_imdb_bertsmall_lsh_h2_c128,790.832175696,98.854021962,92.65971783955376,12042.29638671875,finetune,11.76005506515503,21.3360857963562,21.33627462387085,13.1805362616,34.2271188477,181.4807204013167,18.14807204013167,2.2818079231799997,1.6475670327,47.407655109299995,21.3360857963562,47.77896171913525,99.98342164407677,-0.20019962109208223,3.159717839553764,47.7652775162954,130.2786237838942
a16qafd4,E2_pretraining_imdb_bertsmall_lsh_h2_c64,1774.054965496,118.27033103306667,2.602880286428112,19543.77685546875,tapt,imdb,lsh_h2_c64,eudij3yf,E2_pretraining_wikipedia_bertsmall_lsh_h2_c64,7647.912501086,764.7912501086,2.3447094036548393,19543.76513671875,pretrain,j2x1q39c,E2_finetuning_imdb_bertsmall_lsh_h2_c64,646.79293251,80.84911656375,92.77996505503087,9258.3466796875,finetune,9.041354179382324,19.0857195854187,19.085708141326904,10.7798822085,29.567582758266667,127.46520835143333,12.746520835143334,1.9711721838844445,1.3474852760625,40.347464966766665,19.0857195854187,32.192373564481194,70.20086903930515,-0.07995240561497496,3.279965055030871,32.17888360618335,61.73901389958583
9fnn58aq,E2_pretraining_imdb_bertsmall_lsh_h4_c128,3070.909743671,204.72731624473332,2.4780654966038265,29574.15185546875,tapt,imdb,lsh_h4_c128,0e2zxgor,E2_pretraining_wikipedia_bertsmall_lsh_h4_c128,17036.511550402,1703.6511550402,2.248215781539997,29574.15185546875,pretrain,s1c2rnaf,E2_finetuning_imdb_bertsmall_lsh_h4_c128,1298.198815694,162.27485196175,92.9799997192,21841.25341796875,finetune,21.329349040985107,28.8810076713562,28.8810076713562,21.636646928233333,51.18182906118333,283.94185917336665,28.394185917336664,3.412121937412222,2.7045808660291666,72.81847598941667,28.8810076713562,100.03694059968085,207.1758759992721,0.12008225855414878,3.479999719199995,100.01664717671181,260.2902854941983
2fpocsb8,E2_pretraining_imdb_bertsmall_lsh_h4_c64,2522.166988275,168.14446588500002,2.534777235242763,24966.02685546875,tapt,imdb,lsh_h4_c64,wi223o9o,E2_pretraining_wikipedia_bertsmall_lsh_h4_c64,10765.664537115,1076.5664537115001,2.2858271348377306,24964.15185546875,pretrain,u262vax9,E2_finetuning_imdb_bertsmall_lsh_h4_c64,1020.584710791,127.573088848875,92.49999969999998,16270.8896484375,finetune,15.889540672302246,24.3808856010437,24.3790545463562,17.00974517985,42.036116471250004,179.42774228525002,17.942774228525003,2.8024077647500003,2.12621814748125,59.045861651100005,24.3808856010437,68.86799173494953,149.07777909887244,-0.359917760645871,2.999999699999975,68.8381793041282,127.6736254447822
ghydwtq8,E1_pretraining_imdb_bertsmall_mha,1113.179355367,74.21195702446667,2.3876194786585225,14784.34521484375,tapt,imdb,mha,hd228t3k,E1_pretraining_wikipedia_bertsmall_mha,4728.551458731,472.8551458731,2.1568171624250945,14785.84521484375,pretrain,l2jq2x7g,E1_finetuning_imdb_bertsmall_mha_f2_d0.2_mean,309.168198832,38.646024854,92.85991746064585,3399.7451171875,finetune,3.320063591003418,14.43783712387085,14.43930196762085,5.1528033138666665,18.552989256116668,78.80919097885,7.880919097885,1.236865950407778,0.6441004142333333,23.705792569983334,14.43783712387085,0.0,0.0,0.0,3.359917460645846,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0,hyperpartisan,baseline,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,42.230000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-22.320099569710976,0.0,-100.0,-100.0
0,0,0.0,0.0,0.0,0.0,0,imdb,baseline,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,89.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-3.359917460645846,0.0,-100.0,-100.0
0,0,0.0,0.0,0.0,0.0,0,arxiv,baseline,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,83.62,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-4.759781026686056,0.0,-100.0,-100.0
